ORG_NAME,target
MetricsDAO Academy,0x392fe82aa380b600f4ef8e7480e2ce29403429b5
MetricsDAO Academy,0x1409a9ef3450d5d50aad004f417436e772fbf8fc
MetricsDAO Academy,0x9227509fc4e19bfdb5ee1175837607590c871398
MetricsDAO Academy,0x7ba1ded4b4369491c4327c7922da41ee934c416e
MetricsDAO Academy,0x422e1bb385be7746812a882701c55b402ac72423
MetricsDAO Academy,0x272310a269f5275a624fc7174df8115c7be3ef7a
MetricsDAO Academy,henrywires
MetricsDAO Academy,henrywires
MetricsDAO Academy,henrywires
MetricsDAO Academy,henrywires
MetricsDAO Academy,henrywires
cosanostra,iamdaphn
Alpha Badger,iamdaphn
MetricsDAO,iamdaphn
FlippyFlip BOD,iamdaphn
FlippyFlip BOD,iamdaphn
MetricsDAO Academy,cat-dad
MetricsDAO Academy,str8up
MetricsDAO Academy,str8up
MetricsDAO Academy,str8up
MetricsDAO Academy,str8up
MetricsDAO Academy,str8up
MetricsDAO Academy,str8up
MetricsDAO Academy,351010
MetricsDAO Academy,351010
MetricsDAO,mrodin
Alpha Badger,0x7e9f71287dd0addfefc14f993119438c89ddba9d
Flipside ProAd,0x4ee0470d3cd32c81630631723d61493bac30acd0
MetricsDAO Academy,0xd4606d8ba951c6a0f05da86de60f6fe742cc14c1
MetricsDAO Academy,0x98e3e95d4fdce7f057bc7884bcc030ebedd8fd6c
Pine Challenger,0x37e229da51d1c1e1bdf05e2c0d3e9493bfd33d6c
OFAC Sanctions List,0x23773e65ed146a459791799d01336db287f25334
TalentDAO - Writers Guild,0xe77c2d32129473ee5fa1de427c5d1189d16cb9e2
MetricsDAO Academy,0x8cc531f453ddc5f229db9ca1b13205dfdaf2a854
MetricsDAO Academy,0x3c28175650618cea32079b96be6e66b1e8b70aaa
MetricsDAO Academy,0x409b16a0b4e575d1653936148945ce068d9d5e5e
MetricsDAO Academy,0x00a622dbbf94a59dcfa9e00aa83c4694c9b05bb5
Alpha Badger,0xacede43c30525a8e68912c266d1dee8162fcf6dc
MetricsDAO Academy,0x5948ff2454d601645c9d553c71235df887574095
MetricsDAO Academy,0x55f3b216f2873914ec49d10cf230732b8eddaa97
MetricsDAO Academy,0x133351314363261c8dec8c625ad7549281d770d2
MetricsDAO Academy,0xceb5d51d841cae57e7e255f441edbb793c94cbc3
MetricsDAO Academy,0x7957981a452557cb047e92b12c214fb8d7a35a03
Pine Badges,0xa6eeaab3941d5ff9fdae787a42509b536cb0d7cb
Taptive,0x05562052c09a805904a1ad0ece247574d381301b
MetricsDAO Academy,0x3c57ab7dffde0a170f986ac3e530aa7eb7a4c438
MetricsDAO Academy,0xb13381ca62aa2864d8456ce3d2d7e61f297a24cc
OTNs,0x9622d9a65e80f48f7d93cb8d41d1a3626cb0949e
MetricsDAO Academy,0xaaed9fff9858d48925904e391b77892ba5fda824
MetricsDAO Academy,0xd6920b259726d6e1aa59bf546d1cbf8c8b4c6007
Pine DAO,0x2ef81c2c563113d0bb488d6528adc42d40d41fbf
Pine Badges,0x2ef81c2c563113d0bb488d6528adc42d40d41fbf
MetricsDAO Academy,0x97413e8169003846a2b5bf06bf5adbe98ea44dac
OFAC Sanctions List,0x905b63fff465b9ffbf41dea908ceb12478ec7601
MetricsDAO,0xf953d211ac3ceddccf9d2c51f09b0847b8d884c9
MetricsDAO Academy,0xcbe5495f0e076bd57578972fae9d5646f155dd0a
uh. cbxm.,0xf7cad584a4d56959b5ee6b66d28bb1feac29c68d
MetricsDAO Academy,0xbd9cc51510c42a7e5fcd05c0a565624094483570
MetricsDAO Academy,0x8943328b6b0fa2965c38124ee8402de5da9b91a4
MetricsDAO Academy,0xdf89795fd1341a37609d02b3b7c8b0757c733dd8
MetricsDAO Academy,0x6bb115f7c80a84216783dd5f869c91cdf88e2c40
MetricsDAO Academy,0x8c845ba2db8ce581f797acc5eeab3020c527af9a
